Sample	Group	Sponge
FL20_3	Group_1	H. lachne
FL20_4	Group_1	No classification
FL20_5	Group_1	H. lachne
FL20_6	Group_1	H. lachne
FL20_7	Group_1	No classification
FL20_8	Group_1	H. lachne
FL20_9	Group_1	H. lachne
FL_2015_11	Group_1	No classification
FL22_3	Group_2	No classification
FL_2015_42	Group_2	T. ignis
FL_2015_43	Group_2	T. ignis
FL_2015_45	Group_2	T. ignis
FL_2015_47	Group_2	T. ignis
FL26_2	Group_3	No classification
FL26_3	Group_3	No classification
FL26_4	Group_3	No classification
FL26_5	Group_3	No classification
FL37_1	Group_3	No classification
FL46_1_A	Group_3	No classification
FL46_1_B	Group_3	No classification
FL47_1	Group_3	No classification
FL53_1	Group_3	No classification
FL55_1	Group_3	No classification
FL_2015_1	Group_3	No classification
FL_2015_12	Group_3	No classification
FL_2015_25	Group_3	No classification
FL_2015_27	Group_3	I. felix
FL_2015_3	Group_3	No classification
FL_2015_30	Group_3	I. felix
FL_2015_6	Group_3	No classification
FL_2015_7	Group_3	No classification
FL_2015_8	Group_3	No classification
FL_2015_9	Group_3	I. felix
FL32_1	Group_4	No classification
FL_2015_13	Group_4	No classification
FL_2015_15	Group_4	No classification
FL_2015_16	Group_4	No classification
FL_2015_17	Group_4	No classification
FL_2015_18	Group_4	No classification
FL_2015_19	Group_4	No classification
FL_2015_2	Group_4	I. felix
FL_2015_20	Group_4	I. felix
FL_2015_21	Group_4	No classification
FL31_3	Group_5	No classification
FL_2015_31	Group_5	S. versparum
FL_2015_32	Group_5	S. versparum
FL_2015_33	Group_5	S. versparum
FL_2015_39	Group_5	S. versparum
FL_2015_4	Group_5	S. versparum
FL_2015_40	Group_5	No classification
FL_2015_37	Group_5	S. versparum
FL31_4	Group_5	No classification
FL_2015_46	Group_5	S. versparum
FL_2015_5	Group_5	S. versparum
FL45_1	Group_6	No classification
FL48_1_A	Group_6	No classification
FL48_1_B	Group_6	No classification
FL_2015_14	Group_6	No classification
FL_2015_22	Group_6	No classification
FL_2015_23	Group_6	No classification
FL_2015_24	Group_6	No classification
FL_2015_26	Group_6	No classification
FL_2015_28	Group_6	No classification
FL_2015_29	Group_6	No classification
FL38_1	Group_7	No classification
FL50_1	Group_7	No classification
FL51_1	Group_7	No classification
FL_2015_10	Group_7	No classification
FL28_2	Group_8	No classification
FL41_1	Group_8	No classification
FL35_1	Group_9	No classification
FL35_2	Group_9	No classification
FL35_3	Group_9	No classification
FL_2015_35	Group_9	No classification
FL_2015_48	Group_9	No classification
FL_2015_49	Group_9	No classification
FL_2015_50	Group_9	No classification
FL31_2	Group_10	No classification
FL56_1	Group_10	No classification
FL_2015_34	Group_11	I. felix
FL_2015_36	Group_11	I. felix
FL_2015_38	Group_11	I. felix
FL_2015_41	Group_11	No classification
FL36_1	Group_12	No classification
FL54_1	Group_12	No classification
FL29_3	Group_12	No classification
FL39_1	Rando	No classification
FL40_1	Rando	No classification
FL42_1	Rando	No classification
FL44_1	Rando	No classification
FL_2015_44	Rando	N. proxima